[22:57:11] [Yara DETECT] File: C:\Nexon\EA SPORTS(TM) FC ONLINE\chrome_elf.dll | Rules Matched: PE_Process_Injection_Toolmark
[22:57:12] [Yara DETECT] File: C:\Nexon\NexonPlug\chrome_elf.dll | Rules Matched: PE_Process_Injection_Toolmark
[22:57:12] [Yara DETECT] File: C:\Program Files\BlueStacks_nxt\BlueStacksAppplayerWeb.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:57:13] [Yara DETECT] File: C:\Program Files\Git\mingw64\bin\gcmcore.dll | Rules Matched: Suspicious_PowerShell_Loader
[22:57:13] [Yara DETECT] File: C:\Program Files\Git\mingw64\bin\git-lfs.exe | Rules Matched: Suspicious_PowerShell_Loader
[22:57:13] [Yara DETECT] File: C:\Program Files\Git\mingw64\libexec\git-core\gcmcore.dll | Rules Matched: Suspicious_PowerShell_Loader
[22:57:14] [Yara DETECT] File: C:\Program Files\Git\usr\bin\msys-2.0.dll | Rules Matched: PE_Process_Injection_Toolmark
[22:57:14] [Yara DETECT] File: C:\Program Files\GitExtensions\GitUI.dll | Rules Matched: Suspicious_PowerShell_Loader
[22:57:14] [Yara DETECT] File: C:\Program Files\GitExtensions\ConEmu\ConEmuCD.dll | Rules Matched: PE_Process_Injection_Toolmark
[22:57:14] [Yara DETECT] File: C:\Program Files\GitExtensions\ConEmu\ConEmuCD64.dll | Rules Matched: PE_Process_Injection_Toolmark
[22:57:14] [Yara DETECT] File: C:\Program Files\Google\Chrome\Application\chrome.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:57:14] [Yara DETECT] File: C:\Program Files\Google\Chrome\Application\new_chrome.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:57:16] [Yara DETECT] File: C:\Program Files (x86)\BlueStacks X\BlueStacksWeb.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:57:17] [Yara DETECT] File: C:\Program Files (x86)\ESTsoft\ALToolsManager\TaskbarPin.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:57:17] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:57:17] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\Edge\Application\146.0.3856.97\mscopilot.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:57:17] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\Edge\Application\146.0.3856.97\msedge.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:57:17] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\Edge\Application\146.0.3856.97\msedgewebview2.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:57:17] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\EdgeCore\146.0.3856.84\mscopilot.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:57:17] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\EdgeCore\146.0.3856.84\msedge.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:57:17] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\EdgeCore\146.0.3856.84\msedgewebview2.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:57:18] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\EdgeCore\146.0.3856.97\mscopilot.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:57:18] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\EdgeCore\146.0.3856.97\msedge.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:57:18] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\EdgeCore\146.0.3856.97\msedgewebview2.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:57:18] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\EdgeCore\Optimized\mscopilot.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:57:18] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\EdgeCore\Optimized\msedge.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:57:18] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\EdgeCore\Optimized\msedgewebview2.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:57:19] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\146.0.3856.84\mscopilot.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:57:19] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\146.0.3856.84\msedge.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:57:19] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\146.0.3856.84\msedgewebview2.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:57:19] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\146.0.3856.97\mscopilot.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:57:19] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\146.0.3856.97\msedge.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:57:19] [Yara DETECT] File: C:\Program Files (x86)\Microsoft\EdgeWebView\Application\146.0.3856.97\msedgewebview2.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:57:20] [Yara DETECT] File: C:\Program Files (x86)\Steam\bin\cef\cef.win64\steamwebhelper.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:57:20] [Yara DETECT] File: C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:57:21] [Yara DETECT] File: C:\Program Files (x86)\Steam\steamapps\common\wallpaper_engine\bin\applicationwallpaperinject32.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:57:21] [Yara DETECT] File: C:\Program Files (x86)\Steam\steamapps\common\wallpaper_engine\bin\applicationwallpaperinject64.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:57:22] [Yara DETECT] File: C:\Program Files (x86)\Steam\steamapps\common\wallpaper_engine\distribution\bin\applicationwallpaperinject32.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:57:22] [Yara DETECT] File: C:\Program Files (x86)\Steam\steamapps\common\wallpaper_engine\distribution\bin\applicationwallpaperinject64.exe | Rules Matched: PE_Process_Injection_Toolmark
[22:57:28] [Yara DETECT] File: C:\Program Files (x86)\VMware\VMware Workstation\bin\vctl.exe | Rules Matched: Suspicious_PowerShell_Loader
[22:57:31] [Yara DETECT] File: C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26010.5-0\MpDlp.dll | Rules Matched: PE_Process_Injection_Toolmark
